ticker,sector,industry,index
WEC,Utilities,Electric Utilities,sp500
WFC,Financials,Diversified Banks,sp500
WELL,Real Estate,Health Care REITs,sp500
WST,Health Care,Health Care Supplies,sp500
WDC,Information Technology,"Technology Hardware, Storage & Peripherals",sp500
WY,Real Estate,Timber REITs,sp500
WSM,Consumer Discretionary,Homefurnishing Retail,sp500
WMB,Energy,Oil & Gas Storage & Transportation,sp500
WTW,Financials,Insurance Brokers,sp500
WDAY,Information Technology,Application Software,sp500
WYNN,Consumer Discretionary,Casinos & Gaming,sp500
XEL,Utilities,Multi-Utilities,sp500
XYL,Industrials,Industrial Machinery & Supplies & Components,sp500
YUM,Consumer Discretionary,Restaurants,sp500
ZBRA,Information Technology,Electronic Equipment & Instruments,sp500
ZBH,Health Care,Health Care Equipment,sp500
ZTS,Health Care,Pharmaceuticals,sp500
ALNY,,,nasdaq100
ARM,,,nasdaq100
ASML,,,nasdaq100
CCEP,,,nasdaq100
FER,,,nasdaq100
INSM,,,nasdaq100
MELI,,,nasdaq100
MSTR,,,nasdaq100
PDD,,,nasdaq100
SHOP,,,nasdaq100
TRI,,,nasdaq100
ZS,,,nasdaq100
TSM,Technology,Semiconductors,extra
